Categoria;Concepto;2019;2020;2021;2022;2023;2024;2025
Consolidado;Ingresos operacionales provenientes de contratos con clientes;9958851;11127541;12738271;17037823;18906264;18589956;20578988
Consolidado;Costos de ventas (segun reporte del ano);5565589;6465128;7610884;10799595;11508293;10961472;12457813
Consolidado;Gastos de produccion (linea separada hasta 2024);162851;208969;230055;254948;352391;343281;0
Consolidado;Costo de ventas ajustado (costo + gastos de produccion);5728440;6674097;7840939;11054543;11860684;11304753;12457813
Consolidado;Utilidad bruta;4393262;4662413;5127387;6238228;7397971;7628484;8121175
Consolidado;Gastos de administracion;467332;483735;547290;648381;747758;737361;914184
Consolidado;Gastos de venta;2832494;2962563;3281883;3902807;4543681;4682271;4851168
Consolidado;Diferencia en cambio de activos y pasivos operativos;23661;11532;28100;53995;-60914;-28611;-5984
Consolidado;Otros ingresos netos operacionales;2505;910;9038;20413;34930;4036;53519
Consolidado;Utilidad operativa;956751;1019588;1105297;1506500;1728157;1840996;2403358
Complementario;Propiedades, planta y equipo, neto;3417424;3434206;3676931;4036758;3967953;4344601;4361575
Complementario;Inventarios, neto;1248128;1379984;1742562;3004244;2232801;2447873;2558764
Complementario;Total activos;15659539;15537881;16956483;20757388;15688830;16942462;27419325
